fiscalDateEnding,netIncome,operatingCashflow,capitalExpenditures,totalShareholderEquity,,,,,,
12/31/2023,5723000000,7261000000,2202000000,38603000000,,,,,,
12/31/2022,6933000000,9581000000,1777000000,36686000000,,Row Labels,Sum of netIncome,Sum of operatingCashflow,Sum of capitalExpenditures,Sum of totalShareholderEquity
12/31/2021,7071000000,10533000000,1885000000,35802000000,,2007,,,,17778540000
12/31/2020,4495000000,7901000000,2177000000,32784000000,,2008,,,,1.60217E+11
12/31/2019,3687000000,6136000000,1638000000,31088000000,,2009,55718241000,53942476000,8206151000,2.55973E+11
12/31/2018,2368000000,6300000000,1394000000,30524000000,,2010,38862622000,60961049000,9164081000,2.56779E+11
12/31/2017,477000000,5570000000,1135000000,30897000000,,2011,41413546000,70178500000,10607285000,2.53976E+11
12/31/2016,1400000000,3203000000,1366000000,20538000000,,2012,45046600000,66077028000,10794630000,2.59494E+11
12/31/2015,4423000000,2966000000,1354000000,21211000000,,2013,51250800000,61450000000,11291200000,2.63879E+11
12/31/2014,2284000000,3675000000,5290000000,21526000000,,2014,45317500000,57497400000,15425900000,2.47155E+11
12/31/2013,2576000000,3324000000,1905000000,25171000000,,2015,35762400000,57586600000,10957200000,2.38449E+11
12/31/2012,5963000000,9314000000,1985000000,26721000000,,2016,37053600000,59564000000,12050000000,2.28823E+11
12/31/2011,4728000000,8970000000,1675000000,24439833000,,2017,26677900000,64519600000,12084800000,2.32835E+11
12/31/2010,4626172000,8735981000,1015075000,22676802000,,2018,43612000000,71754500000,13548600000,2.25119E+11
12/31/2009,5745838000,7275160000,1089048000,23144294000,,2019,57433400000,73189600000,14595900000,2.54478E+11
12/31/2008,,,,17479551000,,2020,33886700000,83590600000,16896300000,2.51874E+11
12/31/2007,,,,17778540000,,2021,78558700000,1.37975E+11,18042700000,2.9484E+11
9/30/2024,1705000000,8126000000,725000000,25890000000,,2022,85526800000,1.3974E+11,18117300000,3.23277E+11
9/30/2023,1484000000,5727000000,874000000,25796000000,,2023,58720400000,82879100000,20796600000,3.01578E+11
9/30/2022,1779000000,5075000000,973000000,25282000000,,2024,17413000000,56399900000,11454800000,1.27907E+11
9/30/2021,2092000000,4647000000,1231000000,23677000000,,Grand Total,7.52254E+11,1.1973E+12,2.14033E+11,4.19443E+12
9/30/2020,874000000,3539000000,810000000,23765000000,,,,,,
9/30/2019,1233000000,3330000000,957000000,21081000000,,,,,,
9/30/2018,311000000,2865000000,895000000,20994000000,,,,,,
9/30/2017,1100000000,2550000000,727000000,12948000000,,,,,,
9/30/2016,976000000,2559000000,718000000,7633000000,,,,,,
9/30/2015,695000000,1730000000,633000000,7164000000,,,,,,
9/30/2014,1185000000,1746000000,592000000,5053000000,,,,,,
9/30/2013,1293000000,1505000000,522000000,5043000000,,,,,,
9/30/2012,1170000000,1760228000,487430000,4136000000,,,,,,
9/30/2011,2535846000,1716000000,515385000,4828175000,,,,,,
9/30/2010,2493950000,1744268000,537306000,5434580000,,,,,,
9/30/2009,1231603000,1716816000,591103000,5142712000,,,,,,
9/30/2008,,,,4935568000,,,,,,
12/31/2024,-8948000000,15190000000,1248000000,16335000000,,,,,,
12/31/2023,8025000000,13860000000,1209000000,29430000000,,,,,,
12/31/2022,6327000000,13066000000,1118000000,31061000000,,,,,,
12/31/2021,6994000000,16207000000,1273000000,35946000000,,,,,,
12/31/2020,-9015000000,14052000000,753000000,37822000000,,,,,,
12/31/2019,3439000000,8210000000,836000000,51598000000,,,,,,
12/31/2018,4920000000,7066000000,951000000,14031000000,,,,,,
12/31/2017,1007000000,5275000000,1055000000,11741000000,,,,,,
12/31/2016,4457000000,3058000000,1215000000,16177000000,,,,,,
12/31/2015,1565000000,2105000000,820000000,14266000000,,,,,,
12/31/2014,2004000000,3148000000,526000000,14852000000,,,,,,
12/31/2013,2563000000,3545000000,537000000,15154000000,,,,,,
12/31/2012,1960000000,6941000000,548000000,13623000000,,,,,,
12/31/2011,3709000000,4840000000,367000000,15956000000,,,,,,
12/31/2010,3102000000,4491000000,424000000,15713000000,,,,,,
12/31/2009,10612000000,4065000000,730000000,14843000000,,,,,,
12/31/2008,,,,12241000000,,,,,,
12/31/2024,10590000000,8817900000,5057800000,14192100000,,,,,,
12/31/2023,5240400000,4240100000,3447600000,10771900000,,,,,,
12/31/2022,6244800000,7585700000,1854300000,10649800000,,,,,,
12/31/2021,5581700000,7260700000,2184700000,8979200000,,,,,,
12/31/2020,6193700000,6499600000,2048300000,5641600000,,,,,,
12/31/2019,8318400000,4836600000,1033900000,2606900000,,,,,,
12/31/2018,3232000000,5524500000,1210600000,9828700000,,,,,,
12/31/2017,-204100000,5615600000,1076800000,11592200000,,,,,,
12/31/2016,2737600000,4851000000,1037000000,14007700000,,,,,,
12/31/2015,2408400000,2964600000,1066200000,14571300000,,,,,,
12/31/2014,2390500000,4458400000,1470900000,15373200000,,,,,,
12/31/2013,4684800000,5735000000,1036200000,17631400000,,,,,,
12/31/2012,4088600000,5304800000,1044200000,14765200000,,,,,,
12/31/2011,4347700000,7234500000,1304900000,13541700000,,,,,,
12/31/2010,5069500000,6856800000,1136700000,12420300000,,,,,,
12/31/2009,4328800000,4335500000,765000000,12536900000,,,,,,
12/31/2008,,,,6735300000,,,,,,
12/31/2023,611000000,2374000000,751000000,1608000000,,,,,,
12/31/2022,411000000,1083000000,762000000,1142000000,,,,,,
12/31/2021,914000000,1568000000,658000000,1028000000,,,,,,
12/31/2020,399000000,3407000000,541000000,28000000,,,,,,
12/31/2019,-232000000,1233000000,670000000,-417000000,,,,,,
12/31/2018,111000000,1049000000,617000000,-119000000,,,,,,
12/31/2017,-704000000,1200000000,707000000,-147000000,,,,,,
12/31/2016,-192000000,558000000,875000000,417000000,,,,,,
12/31/2015,-140000000,1026000000,842000000,691000000,,,,,,
12/31/2014,76000000,687000000,933000000,651000000,,,,,,
12/31/2013,-104000000,589000000,683000000,755000000,,,,,,
12/31/2012,274000000,593000000,515000000,1143000000,,,,,,
12/31/2011,140000000,497000000,469000000,1423000000,,,,,,
12/31/2010,1119000000,472000000,476000000,1766000000,,,,,,
12/31/2009,,,,646000000,,,,,,
12/31/2023,2119000000,8700000000,3907000000,89014000000,,,,,,
12/31/2022,31372000000,29267000000,3236000000,95661000000,,,,,,
12/31/2021,21979000000,32580000000,2711000000,77201000000,,,,,,
12/31/2020,9159000000,14403000000,2791000000,63238000000,,,,,,
12/31/2019,16026000000,12588000000,2594000000,63143000000,,,,,,
12/31/2018,11153000000,15827000000,2196000000,63407000000,,,,,,
12/31/2017,21308000000,16802000000,2217000000,71308000000,,,,,,
12/31/2016,7215000000,16192000000,1999000000,59544000000,,,,,,
12/31/2015,6960000000,14688000000,1496000000,64720000000,,,,,,
12/31/2014,9135000000,17084000000,1583000000,71301000000,,,,,,
12/31/2013,22003000000,17684000000,1465000000,76307000000,,,,,,
12/31/2012,14570000000,16746000000,1327000000,81260000000,,,,,,
