fiscalDateEnding,netIncome,operatingCashflow,capitalExpenditures,totalShareholderEquity,,,,,,
12/31/2011,10009000000,20240000000,1660000000,82190000000,,,,,,
12/31/2010,8257000000,11454000000,1513000000,87813000000,,,,,,
12/31/2009,8635000000,16587000000,1205000000,90014000000,,,,,,
12/31/2008,,,,57556000000,,,,,,
12/31/2024,14066000000,24266000000,4424000000,71490000000,,,,,,
12/31/2023,35153000000,22791000000,4543000000,68774000000,,,,,,
12/31/2022,17941000000,21194000000,4009000000,76804000000,,,,,,
12/31/2021,20878000000,23410000000,3652000000,74023000000,,,,,,
12/31/2020,14714000000,23536000000,3347000000,63278000000,,,,,,
12/31/2019,15119000000,23416000000,3498000000,59471000000,,,,,,
12/31/2018,15297000000,22201000000,3670000000,59752000000,,,,,,
12/31/2017,1300000000,21056000000,3279000000,60160000000,,,,,,
12/31/2016,16540000000,18767000000,3226000000,70418000000,,,,,,
12/31/2015,15409000000,19569000000,3463000000,71150000000,,,,,,
12/31/2014,16323000000,18710000000,3714000000,69752000000,,,,,,
12/31/2013,13831000000,17414000000,3595000000,74053000000,,,,,,
12/31/2012,10853000000,15396000000,2934000000,64826000000,,,,,,
12/31/2011,9672000000,14298000000,2893000000,57080000000,,,,,,
12/31/2010,13334000000,16385000000,2384000000,56579000000,,,,,,
12/31/2009,12266000000,16571000000,2365000000,50588000000,,,,,,
12/31/2008,,,,42511000000,,,,,,
12/31/2023,365000000,17926000000,3863000000,37581000000,,,,,,
12/31/2022,14519000000,52888000000,4388000000,45991000000,,,,,,
12/31/2021,13049000000,41769000000,4448000000,38184000000,,,,,,
12/31/2020,7067000000,10253000000,4429000000,25317000000,,,,,,
12/31/2019,9843000000,13440000000,3369000000,25907000000,,,,,,
12/31/2018,6220000000,10922000000,2615000000,26701000000,,,,,,
12/31/2017,2394000000,6451000000,1888000000,34336000000,,,,,,
12/31/2016,3920000000,10376000000,1614000000,40088000000,,,,,,
12/31/2015,4442000000,12538000000,1283000000,44676000000,,,,,,
12/31/2014,11920000000,7989000000,1317000000,48647000000,,,,,,
12/31/2013,4404000000,11654000000,1548000000,49765000000,,,,,,
12/31/2012,6168000000,10022000000,1954000000,53020000000,,,,,,
12/31/2011,6272000000,12383000000,1723000000,54517000000,,,,,,
12/31/2010,861000000,10822000000,1678000000,54376000000,,,,,,
12/31/2009,12899000000,3392000000,1461000000,59058000000,,,,,,
12/31/2008,,,,18758300000,,,,,,
