fiscalDateEnding,netIncome,operatingCashflow,capitalExpenditures,totalShareholderEquity
2024-12-31,100118000000,125299000000,52535000000,325084000000
2023-12-31,73795000000,101746000000,32251000000,283379000000
2022-12-31,59972000000,91495000000,31485000000,256144000000
2021-12-31,76033000000,91652000000,24640000000,251635000000
2020-12-31,40269000000,65124000000,22281000000,222544000000
2019-12-31,34343000000,54520000000,23548000000,201442000000
2018-12-31,30736000000,47971000000,25139000000,177628000000
2017-12-31,12662000000,37091000000,13184000000,152502000000
2016-12-31,19478000000,36036000000,10212000000,139036000000
2015-12-31,16348000000,26024000000,9915000000,120331000000
2014-12-31,14136000000,22376000000,10959000000,104500000000
2013-12-31,12733000000,18659000000,7358000000,87309000000
2012-12-31,10737000000,16619000000,3273000000,71715000000
2011-12-31,9737000000,14565000000,3438000000,58145000000
2010-12-31,8505000000,11081000000,4018000000,46241000000
2009-12-31,6520000000,9316198000,809888000,36004224000
2008-12-31,4227000000,7852857000,2358461000,28238862000
2007-12-31,4203720000,5775410000,2402840000,22689679000
2006-12-31,3077446000,3580508000,1902798000,17039840000
2005-12-31,1465397000,2459422000,838217000,9418957000
2024-08-31,7367000000,11339000000,4710000000,23622000000
2023-08-31,6292000000,11068000000,4323000000,25058000000
2022-08-31,5844000000,7392000000,3891000000,20642000000
2021-08-31,5007000000,8958000000,3588000000,17564000000
2020-08-31,4002000000,8861000000,2810000000,18284000000
2019-08-31,3659000000,6356000000,2998000000,15243000000
2018-08-31,3134000000,5774000000,2969000000,12799000000
2017-08-31,2679000000,6726000000,2502000000,10778000000
2016-08-31,2350000000,3292000000,2649000000,12079000000
2015-08-31,2377000000,4285000000,2393000000,10617000000
2014-08-31,2058000000,3984000000,1993000000,12303000000
2013-08-31,2039000000,3437000000,2083000000,10833000000
2012-08-31,1709000000,3057000000,1480000000,12361000000
2011-08-31,1462000000,3198000000,1290000000,12002000000
2010-08-31,1303000000,2780000000,1055000000,10829000000
2009-08-31,1086000000,2092000000,1250000000,10018000000
2008-08-31,1283000000,2176173000,1598571000,9192061000
2007-08-31,1082772000,2076404000,1385699000,8623341000
2006-08-31,1103215000,1827290000,1212567000,9143439000
2005-08-31,1063092000,1783177000,995431000,8881109000
2025-01-31,2665000000,5794000000,4017000000,8281000000
2024-01-31,2164000000,6788000000,3904000000,11615000000
2023-01-31,2244000000,4311000000,3078000000,10014000000
2022-01-31,1655000000,6190000000,2614000000,9429000000
2021-01-31,2585000000,6815000000,2865000000,9550000000
2020-01-31,1659000000,4664000000,3128000000,8573000000
2019-01-31,3110000000,4164000000,2967000000,7835000000
2018-01-31,1907000000,3413000000,2809000000,6905000000
2017-01-31,1975000000,4272000000,3699000000,6710000000
2016-01-31,2039000000,4846000000,3349000000,6789000000
2015-01-31,1728000000,4185000000,2831000000,5442000000
2014-01-31,1519000000,3380000000,2330000000,5395000000
2013-01-31,1496500000,2835200000,2063900000,4210800000
2012-01-31,602100000,2658500000,1897800000,3966800000
2011-01-31,1116300000,3365700000,1918800000,5297500000
2010-01-31,70000000,2921800000,2296500000,4905900000
2009-01-31,1249000000,2896000000,2149000000,5176000000
2008-01-31,1181000000,2581000000,2126000000,4914000000
2007-01-31,1115000000,2351000000,1683000000,4923000000
2006-01-31,958000000,2192000000,1306000000,4390000000
2025-01-31,14806000000,19810000000,3485000000,6640000000
2024-01-31,15143000000,21172000000,3226000000,1044000000
2023-01-31,17105000000,14615000000,3119000000,1562000000
2022-01-31,16433000000,16571000000,2566000000,-1696000000
2021-01-31,12866000000,18839000000,2463000000,3299000000
2020-01-31,11242000000,13723000000,2678000000,-3116000000
2019-01-31,11121000000,13038000000,2442000000,-1878000000
2018-01-31,8630000000,12031000000,1897000000,1454000000
2017-01-31,7957000000,9783000000,1621000000,4333000000
2016-01-31,7009000000,9373000000,1503000000,6316000000
2015-01-31,6345000000,8242000000,1442000000,9322000000
2014-01-31,5385000000,7628000000,1389000000,12522000000
2013-01-31,4535000000,6975000000,1312000000,17777000000
2012-01-31,3883000000,6651000000,1221000000,17898000000
2011-01-31,3338000000,4585000000,1096000000,18889000000
2010-01-31,2661000000,5125000000,966000000,19393000000
2009-01-31,2260000000,5528000000,1847000000,17777000000
2008-01-31,4395000000,5727000000,3558000000,17714000000
2007-01-31,5761000000,7661000000,3542000000,25030000000
2006-01-31,5838000000,6484000000,3881000000,26909000000
2024-12-31,14405000000,24204000000,3499000000,92658000000
2023-12-31,22381000000,29068000000,3386000000,88756000000
2022-12-31,20120000000,26206000000,2802000000,77772000000
2021-12-31,17285000000,22343000000,2454000000,71760000000
2020-12-31,15403000000,22174000000,2051000000,65491000000
2019-12-31,13839000000,18463000000,2071000000,60436000000
2018-12-31,11986000000,15713000000,2063000000,54319000000
2017-12-31,10558000000,13596000000,2023000000,49833000000
2016-12-31,7237000000,9795000000,1705000000,38397000000
2015-12-31,5813000000,9740000000,1556000000,33725000000
2014-12-31,5619000000,8051000000,1447000000,32454000000
2013-12-31,5625000000,6991000000,1161000000,32149000000
2012-12-31,5526000000,7155000000,1070000000,31178000000
2011-12-31,5142000000,6968000000,1018000000,28292000000
2010-12-31,4634000000,6273000000,878000000,25825000000
2009-12-31,3822000000,5625000000,739000000,23606000000
2008-12-31,2977000000,4238000000,791000000,20780000000
2007-12-31,4654000000,5877000000,871000000,20063000000
2006-12-31,4159000000,6526000000,728000000,20810000000
2005-12-31,3300000000,4326000000,509000000,17733000000
2024-12-31,4614000000,9107000000,2781000000,75560000000
2023-12-31,8344000000,13426000000,3031000000,76461000000
2022-12-31,4311000000,16177000000,2727000000,71469000000
2021-12-31,8001000000,18265000000,2520000000,75075000000
2020-12-31,7179000000,15865000000,2437000000,69389000000
2019-12-31,6634000000,12848000000,2457000000,63864000000
2018-12-31,-594000000,8865000000,2037000000,58225000000
2017-12-31,6622000000,8007000000,1918000000,37691000000
2016-12-31,5317000000,10141000000,2224000000,36830000000
2015-12-31,5237000000,8539000000,2367000000,37196000000
2014-12-31,4644000000,8137000000,2136000000,37958000000
2013-12-31,4592000000,5783000000,1984000000,37938000000
2012-12-31,3864000000,6671000000,2030000000,37653000000
2011-12-31,3462000000,5856000000,1872000000,38051000000
2010-12-31,3427000000,4779000000,2005000000,37700000000
2009-12-31,3696000000,4035000000,2548000000,35768000000
2008-12-31,3212000000,3947000000,2180000000,34574000000
2007-12-31,2637000000,3229700000,1805300000,31321900000
2006-12-31,1368900000,1742400000,1768900000,9917600000
2005-12-31,1224700000,1612100000,1495400000,8331200000
2024-03-31,3002000000,4314000000,687000000,-1971000000
2023-03-31,3560000000,5159000000,558000000,-1857000000
2022-03-31,1114000000,4434000000,535000000,-2272000000
2021-03-31,-4339000000,4542000000,641000000,-21000000
2020-03-31,900000000,4374000000,506000000,5092000000
2019-03-31,34000000,4036000000,557000000,8094000000
2018-03-31,67000000,4345000000,580000000,9804000000
2017-03-31,5070000000,4744000000,562000000,11095000000
2016-03-31,2258000000,3672000000,677000000,8924000000
2015-03-31,1476000000,3112000000,545000000,8001000000
2014-03-31,1263000000,3136000000,415000000,8522000000
2013-03-31,1338000000,2483000000,406000000,7070000000
2012-03-31,1403000000,2950000000,403000000,6831000000
2011-03-31,1202000000,2338000000,388000000,7220000000
2010-03-31,1263000000,2316000000,378000000,7532000000
2009-03-31,823000000,1351000000,392000000,6193000000
2008-03-31,990000000,869000000,356000000,6121000000
2007-03-31,913000000,1539000000,306000000,6273000000
2006-03-31,751000000,2744000000,167000000,5907000000
2005-03-31,-156700000,1538400000,139900000,5275100000
2024-09-30,1509120000,3484685000,487173000,645938000
2023-09-30,1745293000,3911334000,458359000,666287000
2022-09-30,1698820000,2703088000,496318000,-289784000
2021-09-30,1539932000,2666586000,438217000,223354000
2020-09-30,-3408716000,2207040000,369677000,-839636000
2019-09-30,855365000,2344023000,310222000,2993206000
2018-09-30,77922000,1411388000,336411000,2932824000
2017-09-30,74855000,1489007000,466397000,2064460999
2016-09-30,58709000,3178497000,464616000,2129404000
2015-09-30,34706000,3920379000,231585000,633520000
2014-09-30,22765000,1463153000,264457000,1956899000
2013-09-30,18841000,788125000,202450000,2319745000
2012-09-30,5048000,1305449000,164041000,2456712000
2011-09-30,706624000,1167948000,167954000,2868965000
2010-09-30,636748000,1108624000,184635000,2954297000
2009-09-30,503397000,783763000,145837000,2716469000
2008-09-30,250559000,737069000,137309000,2710045000
2007-09-30,469167000,1207904000,118051000,3099720000
2006-09-30,467714000,807265000,113132000,4141157000
2005-09-30,319199000,1526638000,203376000,4280357000
